0.15,9,8,910862430975558561,human,309
0.15,9,6,2044417040902175998,human,758
0.15,9,14,1041226778384189087,human,138
0.15,9,10,1589195670764174444,zombies,464
0.15,9,7,2306985831521771386,human,604
0.15,9,11,6122264081583097514,zombies,405
0.15,9,13,2489130209422271203,zombies,436
0.15,9,15,4078974545494197887,zombies,369
0.15,9,12,1595234291036458699,human,332
0.15,9,17,3960941661117794775,zombies,183
0.15,9,19,4939103505261857320,human,126
0.15,9,16,8499080956972570681,human,882
0.15,9,20,102085528578017855,zombies,243
0.15,9,18,7515384092060227649,human,214
0.15,9,21,8171813927574183566,zombies,312
0.15,9,22,3280383406830209563,human,273
0.15,12,0,4683003859188945156,zombies,424
0.15,9,24,3691152620346061307,zombies,1745
0.15,12,1,2606773127906203842,human,205
0.15,9,23,2289566962637214240,human,329
0.15,12,7,3773844331327953587,human,65
0.15,12,2,363441911713997808,human,340
0.15,12,6,2545468461958615046,zombies,269
0.15,12,4,1920746164771822332,zombies,446
0.15,12,3,4270309778211560175,zombies,712
0.15,12,10,6244169860146827480,zombies,247
0.15,12,9,7181254274097716382,zombies,794
0.15,12,12,3411988883541404675,human,124
0.15,12,5,3665330983889804018,human,761
0.15,12,8,8317406506222471661,zombies,769
0.15,12,13,8573845953896968961,human,101
0.15,12,11,3808521576161359147,zombies,295
0.15,12,14,8863048668144860211,zombies,723
0.15,12,19,7102228357530738299,zombies,203
0.15,12,18,7769869398506981677,zombies,213
0.15,12,17,4960843073073357843,zombies,338
0.15,12,16,2084394205377897102,human,232
0.15,12,20,6920861163010448500,zombies,490
0.15,12,21,4265418033501056358,human,719
0.15,12,22,8699263770291171808,human,142
0.15,12,15,6796040467162286091,zombies,565
0.25,0,0,6120223189034735059,zombies,272
0.15,12,23,3917908893393800934,human,489
0.15,12,24,8208444362206142387,zombies,417
0.25,0,1,8382886718635247942,human,191
0.25,0,3,6678468553708186646,human,251
0.25,0,5,5006866369502437376,human,237
0.25,0,7,3903027039369469976,human,89
0.25,0,4,941187950872766512,human,152
0.25,0,2,7139849293172991101,human,202
0.25,0,8,6855060484123663365,human,135
0.25,0,11,7608895754277301669,human,32
0.25,0,12,1557591846921606893,human,64
0.25,0,6,3551349504363431091,human,298
0.25,0,18,5694273297769987882,human,21
0.25,0,9,5971078764327457820,human,186
0.25,0,17,4179001664180460082,zombies,196
0.25,0,16,5722779070769556186,human,237
0.25,0,14,3306031433743167306,human,352
0.25,0,10,130039248587049209,human,313
0.25,0,13,1908042412067504024,zombies,702
0.25,0,15,2626595542913380622,zombies,467
0.25,0,21,3896602036915162387,human,165
0.25,0,20,3496047367254195805,zombies,337
0.25,0,24,2628050018130280241,human,136
0.25,0,22,2422010704585562633,human,266
0.25,0,23,4460650398715079919,zombies,633
0.25,3,2,8446026852609445292,human,452
0.25,3,0,2073581168932251970,human,212
0.25,0,19,7704346818443058054,human,718
0.25,3,4,7149073667423261159,human,132
0.25,3,1,3861342645988604240,human,224
0.25,3,6,3275317803586426310,zombies,428
0.25,3,3,7787777580025269959,human,282
0.25,3,7,1351180678367984817,human,98
0.25,3,12,3981575409388430226,human,61
0.25,3,5,7890279467976754272,human,513
0.25,3,9,3735095023937722856,human,147
0.25,3,14,8209697712937344373,human,103
0.25,3,10,6356369938499389232,human,333
0.25,3,13,7722118298696911272,human,148
0.25,3,8,8031312117460993916,human,290
0.25,3,11,8591461482649923065,human,282
0.25,3,16,4730901618063781113,human,392
0.25,3,17,8913475457613724358,human,241
0.25,3,20,8959348275273491843,human,103
0.25,3,22,6332785435840788437,human,594
0.25,3,23,4030911033687929592,human,157
0.25,3,18,5212384332758860288,human,198
0.25,3,15,7784660294051381682,human,773
0.25,3,21,3163511558626216577,human,389
0.25,3,19,7554116919268037027,human,611
0.25,3,24,310351277556336447,human,129
0.25,6,1,893059474064558067,zombies,163
0.25,6,2,7562826465533572819,human,114
0.25,6,3,1727123219053640649,zombies,267
0.25,6,5,6726047410676178096,human,227
0.25,6,0,4986164698555936033,human,271
0.25,6,7,5760421128776042734,zombies,346
0.25,6,6,5567800341124858352,human,306
0.25,6,9,4899872740921283319,zombies,343
0.25,6,8,7892440041100892634,human,185
0.25,6,4,4489145674852640245,human,277
0.25,6,10,3804783855964267521,human,207
0.25,6,17,7396963807720511673,zombies,172
0.25,6,13,2681620727660344718,zombies,368
0.25,6,12,5360997250282431240,human,750
0.25,6,11,5509763609271513929,zombies,342
0.25,6,18,5034032595488221313,human,91
0.25,6,20,2431119370016537418,human,82
0.25,6,14,6890296478264465919,human,389
0.25,6,23,5309284351899803065,human,65
0.25,6,22,7357908782926615340,human,198
0.25,6,16,6187186435758958680,zombies,616
0.25,6,15,745042084924764759,human,490
0.25,6,21,1634688741533570640,zombies,597
0.25,6,19,3712066594852578704,human,430
0.25,6,24,8551439613637858547,human,99
0.25,9,0,4765476590171851466,zombies,720
0.25,9,4,6566028554864297644,human,109
0.25,9,6,4437170475489508773,human,1140
0.25,9,5,5714255716243691389,human,139
0.25,9,1,4527314130348787288,zombies,432
0.25,9,7,3830281707351923843,human,367
0.25,9,2,5316439821610303515,zombies,261
0.25,9,3,5788511777915343854,human,373
0.25,9,11,3722217285826442545,zombies,173
0.25,9,8,521505673884872101,zombies,546
0.25,9,12,6904481888333652011,human,159
0.25,9,13,999404734242298362,zombies,354
